node_id,p_ind_focal,p_ind,config_w,hamming_neighbor
0,1025926,493446,0.02116768805233634,2
0,1025926,370566,0.02116768805233634,2
0,1025926,1041286,0.02116768805233634,2
0,1025926,1027975,0.02116768805233634,2
0,1025926,1025927,0.02116768805233634,1
0,1025926,993159,0.02116768805233634,2
0,1025926,1024903,0.02116768805233634,2
0,1025926,1017606,0.02116768805233634,2
0,1025926,1027974,0.02116768805233634,1
0,1025926,1026950,0.02116768805233634,2
0,1025926,1044358,0.02116768805233634,2
0,1025926,501638,0.02116768805233634,1
0,1025926,896902,0.02116768805233634,2
0,1025926,886662,0.02116768805233634,2
0,1025926,1030023,0.02116768805233634,2
0,1025926,518022,0.02116768805233634,2
0,1025926,894854,0.02116768805233634,1
0,1025926,893830,0.02116768805233634,2
0,1025926,894598,0.02116768805233634,2
0,1025926,1042310,0.02116768805233634,1
0,1025926,1009542,0.02116768805233634,2
0,1025926,1034118,0.02116768805233634,2
0,1025926,1041798,0.02116768805233634,2
0,1025926,1042054,0.02116768805233634,2
0,1025926,894850,0.02116768805233634,2
0,1025926,632710,0.02116768805233634,2
0,1025926,503686,0.02116768805233634,2
0,1025926,500614,0.02116768805233634,2
0,1025926,894855,0.02116768805233634,2
0,1025926,763526,0.02116768805233634,2
0,1025926,436102,0.02116768805233634,2
0,1025926,1027972,0.02116768805233634,2
0,1025926,1025924,0.02116768805233634,1
0,1025926,1025671,0.02116768805233634,2
0,1025926,1025923,0.02116768805233634,2
0,1025926,1025925,0.02116768805233634,2
0,1025926,1025670,0.02116768805233634,1
0,1025926,1025922,0.02116768805233634,1
0,1025926,1025666,0.02116768805233634,2
0,1025926,894852,0.02116768805233634,2
0,1025926,1025668,0.02116768805233634,2
0,1025926,1025920,0.02116768805233634,2
0,1025926,763782,0.02116768805233634,1
0,1025926,763654,0.02116768805233634,2
0,1025926,763778,0.02116768805233634,2
0,1025926,763780,0.02116768805233634,2
0,1025926,765830,0.02116768805233634,2
0,1025926,767878,0.02116768805233634,2
0,1025926,762758,0.02116768805233634,2
0,1025926,911238,0.02116768805233634,2
0,1025926,763783,0.02116768805233634,2
