timestep,config_from,config_to,probability
0,392710,130566,0.7660386346257411
0,392710,523782,0.6903821309868707
0,392710,388614,0.9158190095542796
0,392710,392966,0.5543172993659718
1,130566,654854,0.6494757207798199
1,130566,126470,0.70637154363477
1,523782,1048070,0.6774048014182115
1,523782,519686,0.8236880852333348
1,523782,524038,0.7031555502647586
1,388614,386566,0.6395090718538539
1,392966,130822,0.6335022962243079
1,392966,524038,0.8094046327212745
1,392966,388870,0.8685381209480167
1,392966,393094,0.8820247829793364
2,654854,638470,0.5534059905020896
2,654854,650758,0.7367976037883273
2,654854,654982,0.5161131674206276
2,126470,650758,0.683152874378422
2,126470,388614,0.5800422583103011
2,126470,126466,0.5247014091564655
2,1048070,785926,0.5034143141057071
2,1048070,1043974,0.8446315403121665
2,519686,1043974,0.7095984291158188
2,519686,388614,0.5108497905608687
2,519686,517638,0.5491503003659992
2,519686,519942,0.5899151934875907
2,524038,519942,0.739386473585013
2,524038,524166,0.8756372724064213
2,386566,370182,0.5022845428731134
2,386566,385542,0.5486619874394216
2,130822,114438,0.5337358491873676
2,130822,126726,0.5936490400344421
2,130822,130566,0.6036448176622136
2,130822,130950,0.9220356121336917
2,524038,519942,0.739386473585013
2,524038,524166,0.8756372724064213
2,388870,519942,0.6458470649273711
2,388870,386822,0.5415999947987213
2,388870,388614,0.5696994607913135
2,388870,388998,0.8640068490953199
2,393094,130950,0.7322086697200134
2,393094,524166,0.7999769186077852
2,393094,376710,0.5574832212006103
2,393094,388998,0.8488134792897104
3,638470,634374,0.7415038223835339
3,638470,638598,0.6296007269283116
3,650758,634374,0.5594305869811175
3,650758,650754,0.5446952314676301
3,654982,638598,0.6638438745849893
3,654982,650886,0.7040420132334085
3,654982,655238,0.8698042289948833
3,650758,634374,0.5594305869811175
3,650758,650754,0.5446952314676301
3,388614,386566,0.6395090718538539
3,126466,650754,0.700288602294864
3,126466,110082,0.5584390925328748
3,126466,126464,0.6117251128844552
3,785926,654854,0.561038414295707
3,785926,769542,0.5139044928023795
3,785926,781830,0.5458898814042301
3,785926,786054,0.5011197064465803
3,1043974,1041926,0.5258151334277352
3,1043974,1041926,0.5258151334277352
3,388614,386566,0.6395090718538539
3,517638,1041926,0.6898779584084749
3,517638,386566,0.6033401064580131
3,517638,516614,0.5621554271055944
3,519942,1044230,0.5047010847151179
3,519942,520070,0.85680217723734
3,519942,1044230,0.5047010847151179
3,519942,520070,0.85680217723734
3,524166,1048454,0.658342874663554
3,524166,507782,0.5180282744648812
3,524166,520070,0.7068248693649586
3,370182,894470,0.538404542052568
3,370182,361990,0.6946406199322305
3,114438,638726,0.5539946179913965
3,114438,110342,0.599523614957424
3,114438,114182,0.5063122572712753
3,114438,114566,0.9496148985286227
3,126726,388870,0.7234724694185366
3,126726,110342,0.5398051393825852
3,126726,126470,0.7149260127090831
3,126726,126854,0.909501410716749
3,130566,654854,0.6494757207798199
3,130566,126470,0.70637154363477
3,130950,655238,0.6296657014114169
3,130950,114566,0.6459257785633027
3,130950,126854,0.5538655685566733
3,519942,1044230,0.5047010847151179
3,519942,520070,0.85680217723734
3,524166,1048454,0.658342874663554
3,524166,507782,0.5180282744648812
3,524166,520070,0.7068248693649586
3,519942,1044230,0.5047010847151179
3,519942,520070,0.85680217723734
3,386822,517894,0.5559739060706556
3,386822,370438,0.5997834997096992
3,386822,378630,0.6612142777993357
3,386822,385798,0.514442121062461
3,386822,386566,0.6653156067937911
3,386822,386950,0.8619667026317702
3,388614,386566,0.6395090718538539
3,388998,520070,0.6320072739897977
3,388998,372614,0.5634961989366528
3,388998,386950,0.5373132661029898
3,130950,655238,0.6296657014114169
3,130950,114566,0.6459257785633027
3,130950,126854,0.5538655685566733
3,524166,1048454,0.658342874663554
3,524166,507782,0.5180282744648812
3,524166,520070,0.7068248693649586
3,376710,900998,0.5025726614694612
3,376710,114566,0.7983609354101338
3,376710,507782,0.7733527531370759
3,376710,372614,0.8519193287878378
3,388998,520070,0.6320072739897977
3,388998,372614,0.5634961989366528
3,388998,386950,0.5373132661029898
4,634374,634502,0.5909115389065596
4,634374,634370,0.6570004714210054
4,638598,634502,0.709102683670948
4,638598,638854,0.9084332987132248
4,634374,634502,0.5909115389065596
4,634374,634370,0.6570004714210054
4,650754,634370,0.6703012093927359
4,638598,634502,0.709102683670948
4,638598,638854,0.9084332987132248
4,650886,634502,0.6692690103119083
4,650886,651142,0.8022590700872994
4,650886,650758,0.5245538358872448
4,655238,786310,0.5839150916350491
4,655238,638854,0.7457165828894072
4,655238,651142,0.590943097193663
4,634374,634502,0.5909115389065596
4,634374,634370,0.6570004714210054
4,650754,634370,0.6703012093927359
4,386566,370182,0.5022845428731134
4,386566,385542,0.5486619874394216
4,650754,634370,0.6703012093927359
4,110082,634370,0.7897452675372129
4,110082,110080,0.5925619425134563
4,126464,650752,0.5612947420480543
4,126464,110080,0.5386295214086723
4,654854,638470,0.5534059905020896
4,654854,650758,0.7367976037883273
4,654854,654982,0.5161131674206276
4,769542,638470,0.5996932446766634
4,769542,765446,0.551933777853917
4,769542,769670,0.6155040213890307
4,769542,769538,0.5294319044302263
4,781830,1043974,0.8168823155019128
4,781830,650758,0.7485116025067922
4,781830,765446,0.5199997722746563
4,781830,781826,0.6113142302041215
4,786054,654982,0.5757556181594601
4,786054,769670,0.6275362290028428
4,786054,781958,0.5053268354068383
4,786054,786310,0.9271335145695133
4,786054,786055,0.5116625814072625
4,1041926,1025542,0.5805536740483261
4,1041926,1025542,0.5805536740483261
4,386566,370182,0.5022845428731134
4,386566,385542,0.5486619874394216
4,1041926,1025542,0.5805536740483261
4,386566,370182,0.5022845428731134
4,386566,385542,0.5486619874394216
4,516614,1040902,0.5592072869114522
4,516614,385542,0.5901906309601437
4,1044230,1027846,0.526286402716833
4,1044230,1043974,0.6250443438491733
4,1044230,1044358,0.9294097123703958
4,520070,1044358,0.6915726708850629
4,520070,503686,0.5241197279316845
4,1044230,1027846,0.526286402716833
4,1044230,1043974,0.6250443438491733
4,1044230,1044358,0.9294097123703958
